ID,Fecha,Archivo,Total Detectados,Maduros,Semimaduros,No Maduros,Puntuación Madurez
2,2025-11-07 02:58:23,,45,19,20,6,64.4%
1,2025-11-07 02:58:05,,7,4,3,0,78.6%
